12:01:29.0	POWER
12:01:32.0	EVENT PARIND
12:01:34.0	NEWRUN
12:01:36.0	TOG 1
12:01:38.0	TOG 2
12:01:40.0	TOG 3
12:01:42.0	TOG 4
12:01:44.0	NUM 1
12:01:46.0	NUM 2
12:01:48.0	NUM 3
12:01:50.0	NUM 4
12:01:52.0	NUM 5 
12:01:54.0	NUM 6
12:01:56.0	NUM 7
12:01:58.0	NUM 8
12:02:25.0	NUM 9
12:02:32.0	NUM 10
12:02:33.0	TRIG 1
12:02:41.0	TRIG 3
12:02:43.0	TRIG 1
12:02:45.0	TRIG 3
12:02:47.0	TRIG 1
12:02:49.0	TRIG 3
12:02:51.0	TRIG 1
12:02:53.0	TRIG 3
12:02:55.0	PRINT
12:02:57.0	CANCEL
12:02:59.0	CANCEL
12:03:01.0	TRIG 2
12:03:03.0	TRIG 4
12:03:05.0	DNF 1
12:03:07.0	DNF 2
12:03:09.0	DNF 3
12:03:11.0	PRINT
12:03:12.0	TRIG 1
12:03:12.5	TRIG 3
12:03:13.0	SWAP 1
12:03:15.0	SWAP 2
12:03:17.0	SWAP 3
12:03:19.0	PRINT
12:03:21.0	EXPORT
12:03:23.0	TRIG 2
12:03:25.0	TRIG 4
12:03:27.0	ENDRUN
12:03:29.0	EXPORT
12:03:00.0	NEWRUN
12:04:30.0	TIME 12:01:30.0
12:01:34.0	NEWRUN
12:03:27.0	ENDRUN
12:03:28.0	POWER
12:03:30.0	EXIT
